Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
west-pn-freq-2,0.16550881577120644,0.16554213522143552,0.16547549632097738,0.16550881577120644,0.16550881577120644,0.16554213522143552,0.16547549632097738,0.16550881577120644,0.16554213522143552
west-pn-freq-4,0.10266972094960428,0.10277662085242253,0.10256698597806464,0.10273774816048861,0.10267943912258777,0.10276690267943907,0.10235596279328052,0.10268776898514502,0.1028460363737331
west-pn-freq-8,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819,0.06463973344439819
west-pn-width-2,0.22932111620158263,0.23198667221990826,0.23095099264195468,0.23095099264195468,0.228896293211162,0.228896293211162,0.2319311398028599,0.2319311398028599,0.2253783145911426
west-pn-width-4,0.22838123004303762,0.22775232541996399,0.2284506455643482,0.23042343467999443,0.2260099958350687,0.23114257948077183,0.22342496182146326,0.22955018742190753,0.2031792308760238
west-pn-width-8,0.22471886713869224,0.22679439122587824,0.22782868249340554,0.22782868249340554,0.22580174927113705,0.22754824378731092,0.22528252117173403,0.22576842982090795,0.20101346661113423
yeoh-pn-freq-2,0.2104655523759972,0.21038469042663893,0.21051871964967042,0.21051871964967042,0.2104850633021158,0.21049362643080122,0.21049433099202214,0.21049433099202214,0.21056787634408597
yeoh-pn-freq-4,0.14469086021505378,0.14543390131807146,0.14469086021505378,0.14543390131807146,0.14469086021505378,0.14543390131807146,0.14469086021505378,0.14543390131807146,0.14543390131807146
yeoh-pn-freq-8,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871,0.0811491935483871
yeoh-pn-width-2,0.2137525472597988,0.21411615504682618,0.21398266779396455,0.2140772415886229,0.21357282995143945,0.213592937044745,0.2134963579604578,0.21367916449878593,0.19848139958376704
yeoh-pn-width-4,0.19831788718348942,0.19891334980922656,0.19728976977107177,0.19849939299340966,0.19711308749566425,0.1976951634582032,0.19774459113770376,0.19836113640305236,0.1991940903572668
yeoh-pn-width-8,0.11889248395768295,0.1432904092958723,0.12346627861602495,0.1431329669614984,0.1234244927159209,0.14142933792924037,0.12835419918487684,0.14299601109954907,0.14468544051335414
